User_ID,account_nbr,Occupation_usr,Years_wk_usr,Salary_usr
X3aB7kL9pR,23456789012345,Software Developer,3 years,"$60,000"
Q2cD8eJ4hU,234567890123456,Nurse,8 years,"$75,000"
W5gF6mN1oY,345678901234567,Teacher,5 years,"$55,000"
A9bI3lR7tV,456789012345678,Accountant,12 years,"$90,000"
Z4dH2oG8qX,567890123456789,Chef,2 years,"$50,000"
K6iL1pS3wT,678901234567890,Electrician,10 years,"$85,000"
C7uV2xY5zN,789012345678901,Lawyer,6 years,"$65,000"
M9aP4rH8jK,890123456789012,Marketing Manager,4 years,"$70,000"
E3fU6oW1nX,901234567890123,Plumber,7 years,"$80,000"
D2qB7lY4sK,109876543210987,Graphic Designer,15 years,"$100,000"
V8hT9pA6yJ,210987654321098,Doctor,1 year,"$45,000"
R1kL3uV7dX,321098765432109,Receptionist,9 years,"$78,000"
G4oN2iP8mC,432109876543210,Carpenter,11 years,"$92,000"
B7wS5zR9xL,543210987654321,Sales Representative,3 years,"$60,000"
Y5vU6cT3iM,654321098765432,Librarian,8 years,"$75,000"
J9aW2kL7fH,765432109876543,Customer Service Representative,5 years,"$55,000"
I3nF1qO6uP,876543210987654,Mechanical Engineer,12 years,"$90,000"
H8rX4jG2pK,987654321098765,Artist,2 years,"$50,000"
Z2cV5xY7qA,987123456789012,Police Officer,10 years,"$85,000"
T7eN9mS1lR,876234567890123,Financial Analyst,6 years,"$65,000"
Q6uH3dV4pW,765345678901234,Retail Manager,4 years,"$70,000"
X1wK7zY9mB,654456789012345,Web Designer,7 years,"$80,000"
U5sA8oP2vQ,543567890123456,Pharmacist,15 years,"$100,000"
L9yF6gJ3nZ,432678901234567,Human Resources Specialist,1 year,"$45,000"
O4bX2cT7iD,321789012345678,Construction Worker,9 years,"$78,000"
P8jR1kL3aU,210890123456789,Social Worker,11 years,"$92,000"
N3mW5oG7vZ,109901234567890,IT Consultant,3 years,"$60,000"
C7sV4pB9xK,123019876543210,Fitness Trainer,8 years,"$75,000"
F2qU6rH1lX,234021098765432,Journalist,5 years,"$55,000"
D9wI8oA5yJ,345032109876543,Bartender,12 years,"$90,000"
T3hS7wK4uL,456043210987654,Architect,2 years,"$50,000"
Z6pN1yC8mX,567054321098765,Hairdresser,10 years,"$85,000"
V7dO2jG5iR,678065432109876,Veterinarian,6 years,"$65,000"
X9kL3uV1sH,789076543210987,Project Manager,4 years,"$70,000"
G4rP8mB2qW,890087654321098,Dental Hygienist,7 years,"$80,000"
N1oY5vU7cT,901098765432109,Data Analyst,15 years,"$100,000"
E6iW9nS3xK,876098765432109,Real Estate Agent,1 year,"$45,000"
M2aP7jH8oR,765098765432109,Event Planner,9 years,"$78,000"
A5uQ3bL6sV,654098765432109,Electrician,11 years,"$92,000"
Y7zR9xL2wK,543098765432109,Software Engineer,3 years,"$60,000"
J3fT6oN1iX,432098765432109,Account Manager,8 years,"$75,000"
B8lX4pY9qJ,321098765432109,Nurse Practitioner,5 years,"$55,000"
W1kC7uV2xH,210098765432109,Chef,12 years,"$90,000"
K3mN9oG6jP,109098765432109,Marketing Coordinator,2 years,"$50,000"
H7rT2jA8yL,210987654321098,Lawyer,10 years,"$85,000"
I4nR1oF3uW,321876543210987,Receptionist,6 years,"$65,000"
D8vX5iS7wK,432765432109876,Police Officer,4 years,"$70,000"
Q6uH2dY9cP,543654321098765,Graphic Designer,7 years,"$80,000"
O1rW7oK4lA,654543210987654,Customer Service Representative,15 years,"$100,000"
U5sJ9yB6mV,765432109876543,Mechanical Engineer,1 year,"$45,000"
P3jH8qO1uS,876321098765432,Librarian,9 years,"$78,000"
C7xW5oL2iR,987210987654321,Carpenter,11 years,"$92,000"
Z9kG6pN3aH,987654321012345,Sales Representative,3 years,"$60,000"
S2wT7yV4zX,876543210123456,Retail Manager,8 years,"$75,000"
B5sQ8vU1cK,765432109234567,Pharmacist,5 years,"$55,000"
R7jL4oY2mF,654321098345678,Financial Analyst,12 years,"$90,000"
E9nS1iP3lR,543210987456789,Artist,2 years,"$50,000"
X6uV3dA5oN,432109876567890,Police Officer,10 years,"$85,000"
M2yC8kL7wT,321098765678901,HR Manager,6 years,"$65,000"
F4oB9rI6gX,210987654789012,IT Specialist,4 years,"$70,000"
V7hT1pY5aJ,109876543890123,Fitness Instructor,7 years,"$80,000"
D3xU6iH8lK,123450987654321,Journalist,15 years,"$100,000"
